Site_Latitude,Site_Longitude,Site_Soil_Sand_Percentage,Site_Soil_Silt_Percentage,Site_Soil_Clay_Percentage,Site_Precipitation_mm,Site_Temperature_Celsius,Crop_Biomass_Aerial
37.3,13.31,48.6,24.7,26.7,552.0,16.7,4.79
37.3,13.31,48.6,24.7,26.7,552.0,16.7,6.85
37.3,13.31,48.6,24.7,26.7,552.0,16.7,4.54
37.3,13.31,48.6,24.7,26.7,552.0,16.7,8.16
37.3,13.31,48.6,24.7,26.7,552.0,16.7,5.27
37.3,13.31,48.6,24.7,26.7,552.0,16.7,7.39
37.3,13.31,48.6,24.7,26.7,552.0,16.7,5.84
37.3,13.31,48.6,24.7,26.7,552.0,16.7,8.07
37.3,13.31,18.1,24.7,57.2,552.0,16.7,7.62
37.3,13.31,18.1,24.7,57.2,552.0,16.7,7.14
37.3,13.31,18.1,24.7,57.2,552.0,16.7,6.98
37.3,13.31,18.1,24.7,57.2,552.0,16.7,6.85
37.3,13.31,18.1,24.7,57.2,552.0,16.7,7.43
37.3,13.31,18.1,24.7,57.2,552.0,16.7,7.02
37.3,13.31,18.1,24.7,57.2,552.0,16.7,6.19
37.3,13.31,18.1,24.7,57.2,552.0,16.7,5.48
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,10.31
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,5.69
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,5.9
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,3.43
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,2.9
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,4.47
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,3.5
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,7.7
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,7.66
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,8.41
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,10.14
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,7.14
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,5.76
-31.29,118.12,60.0,13.0,42.0,272.0,18.1,8.97
